review_id,product_id,customer_id,rating,review_text
R12001,P2029,C1044,3,Absolutely love bamboo bath caddy — battery life could be better but overall solid.
R12002,P2056,C1062,3,Really impressed with gps pet tracker — packaging was eco-friendly.
R12003,P2032,C1010,5,Absolutely love trail running shoes — feels premium and durable.
R12004,P2010,C1073,4,Really impressed with usb-c power bank — color and finish are great.
R12005,P2008,C1072,4,Would recommend drone mini — the whole family enjoys it.
R12006,P2051,C1080,3,Gifted this and orthopedic dog bed — packaging was eco-friendly.
R12007,P2029,C1057,4,Would recommend bamboo bath caddy — packaging was eco-friendly.
R12008,P2020,C1073,5,Absolutely love smart air purifier — the whole family enjoys it.
R12009,P2048,C1013,3,Pretty happy with travel duffel bag — battery life could be better but overall solid.
R12010,P2043,C1011,3,Pretty happy with performance hoodie — feels premium and durable.
R12011,P2036,C1010,3,Absolutely love portable solar charger — packaging was eco-friendly.
R12012,P2029,C1077,4,It took a bit to arrive but bamboo bath caddy — will be buying again.
R12013,P2015,C1037,5,It took a bit to arrive but adjustable standing desk — setup was straightforward.
R12014,P2005,C1030,4,Would recommend noise-canceling headphones — color and finish are great.
R12015,P2028,C1015,5,Pretty happy with herbal tea sampler — feels premium and durable.
R12016,P2059,C1035,3,Really impressed with interactive laser toy — will be buying again.
R12017,P2011,C1040,5,Would recommend air fryer pro — battery life could be better but overall solid.
R12018,P2029,C1016,4,It took a bit to arrive but bamboo bath caddy — packaging was eco-friendly.
R12019,P2018,C1065,5,Exceeded expectations for cast iron skillet — setup was straightforward.
R12020,P2006,C1077,3,"Not bad for the price, 4k action camera — customer support was helpful."
R12021,P2039,C1033,3,Really impressed with cycling helmet — color and finish are great.
R12022,P2044,C1074,5,Absolutely love classic denim jacket — battery life could be better but overall solid.
R12023,P2037,C1006,3,Exceeded expectations for yoga mat pro — shipping was faster than expected.
R12024,P2042,C1057,4,Solid quality on vegan leather backpack — the whole family enjoys it.
R12025,P2028,C1063,3,Exceeded expectations for herbal tea sampler — customer support was helpful.
R12026,P2027,C1043,4,Really impressed with cooling eye gel — feels premium and durable.
R12027,P2022,C1053,5,Exceeded expectations for aromatherapy diffuser — battery life could be better but overall solid.
R12028,P2043,C1052,5,Absolutely love performance hoodie — setup was straightforward.
R12029,P2006,C1041,4,Hands down the best 4k action camera — made my daily routine easier.
R12030,P2050,C1052,5,Absolutely love slim card holder — shipping was faster than expected.
R12031,P2030,C1053,3,Pretty happy with weighted blanket — shipping was faster than expected.
R12032,P2024,C1080,4,Exceeded expectations for silk sleep mask — will be buying again.
R12033,P2014,C1035,5,Solid quality on robot vacuum — battery life could be better but overall solid.
R12034,P2029,C1063,3,Absolutely love bamboo bath caddy — the whole family enjoys it.
R12035,P2052,C1031,5,Solid quality on automatic pet feeder — battery life could be better but overall solid.
R12036,P2036,C1002,5,"Not bad for the price, portable solar charger — made my daily routine easier."
R12037,P2015,C1015,4,Really impressed with adjustable standing desk — feels premium and durable.
R12038,P2032,C1038,5,It took a bit to arrive but trail running shoes — packaging was eco-friendly.
R12039,P2054,C1062,4,Pretty happy with durable chew toy — setup was straightforward.
R12040,P2036,C1019,4,Pretty happy with portable solar charger — the whole family enjoys it.
R12041,P2033,C1018,3,It took a bit to arrive but camping hammock — packaging was eco-friendly.
R12042,P2022,C1065,4,Absolutely love aromatherapy diffuser — battery life could be better but overall solid.
R12043,P2047,C1039,5,Would recommend lightweight parka — setup was straightforward.
R12044,P2056,C1020,4,Gifted this and gps pet tracker — setup was straightforward.
R12045,P2023,C1043,5,Gifted this and massage gun — packaging was eco-friendly.
R12046,P2030,C1042,3,Pretty happy with weighted blanket — the whole family enjoys it.
R12047,P2025,C1030,4,Absolutely love organic hair oil — customer support was helpful.
R12048,P2048,C1061,5,"Not bad for the price, travel duffel bag — packaging was eco-friendly."
R12049,P2043,C1020,4,Absolutely love performance hoodie — feels premium and durable.
R12050,P2033,C1076,4,Really impressed with camping hammock — setup was straightforward.
R12051,P2007,C1068,4,Absolutely love smart home hub — feels premium and durable.
R12052,P2027,C1020,3,Exceeded expectations for cooling eye gel — battery life could be better but overall solid.
R12053,P2022,C1080,5,"Not bad for the price, aromatherapy diffuser — made my daily routine easier."
R12054,P2055,C1043,5,Gifted this and pet travel carrier — packaging was eco-friendly.
R12055,P2021,C1063,5,Absolutely love vitamin c serum — the whole family enjoys it.
R12056,P2005,C1031,5,It took a bit to arrive but noise-canceling headphones — color and finish are great.
R12057,P2048,C1012,4,Really impressed with travel duffel bag — made my daily routine easier.
R12058,P2029,C1022,5,It took a bit to arrive but bamboo bath caddy — will be buying again.
R12059,P2003,C1042,3,It took a bit to arrive but portable projector — customer support was helpful.
R12060,P2024,C1056,3,Pretty happy with silk sleep mask — shipping was faster than expected.
R12061,P2027,C1073,5,Solid quality on cooling eye gel — feels premium and durable.
R12062,P2012,C1011,5,"Not bad for the price, ceramic cookware set — the whole family enjoys it."
R12063,P2044,C1031,4,Would recommend classic denim jacket — feels premium and durable.
R12064,P2015,C1060,5,It took a bit to arrive but adjustable standing desk — setup was straightforward.
R12065,P2017,C1002,4,It took a bit to arrive but memory foam pillow — shipping was faster than expected.
